waiting
Ghosts #120; Agents Time: 1081
Ghosts #108; Agents Time: 1219
Ghosts #119; Agents Time: 1223
Ghosts #118; Agents Time: 1236
Ghosts #112; Agents Time: 1248
Ghosts #116; Agents Time: 1305
Ghosts #109; Agents Time: 1307
Ghosts #115; Agents Time: 1322
Ghosts #113; Agents Time: 1323
Ghosts #106; Agents Time: 1330
Ghosts #104; Agents Time: 1332
Ghosts #117; Agents Time: 1357
Ghosts #107; Agents Time: 1431
Ghosts #99; Agents Time: 1445
Ghosts #111; Agents Time: 1447
Ghosts #114; Agents Time: 1449
Ghosts #105; Agents Time: 1466
Ghosts #110; Agents Time: 1523
Ghosts #100; Agents Time: 1523
Ghosts #101; Agents Time: 1555
Ghosts #96; Agents Time: 1600
Ghosts #98; Agents Time: 1634
Ghosts #91; Agents Time: 1649
Ghosts #94; Agents Time: 1656
Ghosts #103; Agents Time: 1664
Ghosts #102; Agents Time: 1689
Ghosts #82; Agents Time: 1692
Ghosts #95; Agents Time: 1696
Ghosts #93; Agents Time: 1703
Ghosts #97; Agents Time: 1708
Ghosts #90; Agents Time: 1734
Ghosts #92; Agents Time: 1740
Ghosts #85; Agents Time: 1759
Ghosts #87; Agents Time: 1791
Ghosts #83; Agents Time: 1809
Ghosts #86; Agents Time: 1822
Ghosts #89; Agents Time: 1823
Ghosts #88; Agents Time: 1864
Ghosts #73; Agents Time: 1883
Ghosts #81; Agents Time: 1885
Ghosts #66; Agents Time: 1897
Ghosts #84; Agents Time: 1911
Ghosts #78; Agents Time: 1924
Ghosts #77; Agents Time: 1927
Ghosts #76; Agents Time: 1934
Ghosts #79; Agents Time: 1938
Ghosts #75; Agents Time: 1949
Ghosts #71; Agents Time: 1974
Ghosts #80; Agents Time: 1992
Ghosts #70; Agents Time: 2125
Ghosts #74; Agents Time: 2156
Ghosts #72; Agents Time: 2199
Ghosts #69; Agents Time: 2235
Ghosts #62; Agents Time: 2257
Ghosts #64; Agents Time: 2293
Ghosts #67; Agents Time: 2307
Ghosts #68; Agents Time: 2320
Ghosts #65; Agents Time: 2406
Ghosts #58; Agents Time: 2471
Ghosts #60; Agents Time: 2481
Ghosts #63; Agents Time: 2483
Ghosts #54; Agents Time: 2499
Ghosts #57; Agents Time: 2550
Ghosts #56; Agents Time: 2694
Ghosts #0; Agents Time: 2753
Ghosts #61; Agents Time: 2761
Ghosts #59; Agents Time: 2785
Ghosts #52; Agents Time: 2812
Ghosts #49; Agents Time: 2837
Ghosts #53; Agents Time: 2852
Ghosts #48; Agents Time: 2970
Ghosts #55; Agents Time: 3059
Ghosts #45; Agents Time: 3098
Ghosts #50; Agents Time: 3120
Ghosts #47; Agents Time: 3154
Ghosts #46; Agents Time: 3232
Ghosts #43; Agents Time: 3345
Ghosts #40; Agents Time: 3425
Ghosts #51; Agents Time: 3440
Ghosts #42; Agents Time: 3608
Ghosts #39; Agents Time: 3741
Ghosts #44; Agents Time: 3801
Ghosts #37; Agents Time: 3818
Ghosts #38; Agents Time: 3907
Ghosts #36; Agents Time: 4032
Ghosts #41; Agents Time: 4057
Ghosts #35; Agents Time: 4062
Ghosts #31; Agents Time: 4662
Ghosts #32; Agents Time: 4931
Ghosts #29; Agents Time: 5117
Ghosts #33; Agents Time: 5123
Ghosts #34; Agents Time: 5130
Ghosts #30; Agents Time: 5313
Ghosts #28; Agents Time: 5804
Ghosts #27; Agents Time: 6115
Ghosts #26; Agents Time: 6181
Ghosts #25; Agents Time: 6293
Ghosts #24; Agents Time: 7331
Ghosts #20; Agents Time: 8408
Ghosts #22; Agents Time: 8571
Ghosts #23; Agents Time: 8677
Ghosts #21; Agents Time: 10087
Ghosts #17; Agents Time: 11947
Ghosts #18; Agents Time: 12765
Ghosts #19; Agents Time: 12915
Ghosts #16; Agents Time: 13883
Ghosts #13; Agents Time: 16932
Ghosts #14; Agents Time: 17100
Ghosts #12; Agents Time: 17975
Ghosts #15; Agents Time: 18021
Ghosts #11; Agents Time: 21887
Ghosts #10; Agents Time: 25782
Ghosts #9; Agents Time: 34375
Ghosts #8; Agents Time: 72952
Ghosts #7; Agents Time: 75338
Ghosts #6; Agents Time: 107654
